loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,mort_acc,credit_score,loan_default
20000,36,10.274380028981087,B,B5,3 years,MORTGAGE,41234.73,debt_consolidation,22.98,0,2,15,0,26.7,26,0,729,0
10000,36,12.693624814596381,C,C4,5 years,MORTGAGE,73925.08,debt_consolidation,28.94,1,2,23,0,48.0,33,2,703,0
5000,36,7.227321951473625,A,A3,10+ years,RENT,38687.54,credit_card,23.77,0,0,18,0,25.5,24,1,765,0
20000,60,19.45356301256701,E,E2,4 years,OTHER,35679.18,credit_card,33.78,1,2,3,0,55.4,13,3,639,1
20000,60,15.879330988680104,D,D3,10+ years,MORTGAGE,103510.19,credit_card,10.04,0,0,21,0,88.0,24,3,666,0
20000,36,17.493163835444324,D,D4,10+ years,MORTGAGE,64436.63,credit_card,41.44,1,1,3,0,3.0,5,3,670,0
10000,36,10.396154048027261,B,B1,3 years,RENT,55102.15,debt_consolidation,2.42,0,2,11,0,73.6,23,2,706,0
10000,60,24.24963444670638,G,G1,7 years,MORTGAGE,20000.0,debt_consolidation,22.48,1,1,9,3,13.1,19,2,542,1
35000,60,21.912391431032365,F,F2,8 years,OWN,78676.48,other,44.89,0,1,15,2,12.5,25,2,618,1
10000,36,20.47239208907431,E,E3,3 years,MORTGAGE,40847.49,credit_card,29.65,0,2,18,0,72.9,27,2,590,0
35000,36,9.59690152022431,B,B5,10+ years,RENT,64026.17,major_purchase,21.7,0,1,11,0,92.7,25,3,704,0
25000,36,12.994176379528927,C,C2,7 years,OWN,20000.0,credit_card,42.86,1,0,15,0,33.0,29,0,694,0
20000,36,5.890717230856605,A,A4,9 years,RENT,,credit_card,3.51,0,2,4,0,54.8,11,1,768,0
15000,36,6.33904502192469,A,A5,8 years,OWN,60831.72,debt_consolidation,19.01,0,1,6,0,83.1,13,3,761,0
30000,60,16.49638810975792,D,D3,2 years,RENT,47205.99,major_purchase,40.66,0,1,23,0,73.4,30,1,649,1
30000,36,16.928100647685813,D,D5,7 years,RENT,31836.95,major_purchase,30.61,0,0,28,1,82.3,29,0,676,0
25000,36,24.900067896607656,G,G5,10+ years,MORTGAGE,109057.06,debt_consolidation,16.58,1,1,11,2,,14,0,544,1
25000,36,9.769977363070751,B,B4,9 years,MORTGAGE,34616.19,credit_card,43.99,0,1,20,0,87.0,27,0,688,0
15000,60,8.703032664973273,B,B2,5 years,RENT,93537.64,major_purchase,34.16,0,0,16,0,28.5,29,2,718,0
5000,36,13.52757029042068,C,C2,6 years,RENT,101548.8,other,43.98,1,3,29,0,99.1,41,2,669,0
35000,60,8.506550934827278,B,B5,8 years,RENT,32881.58,debt_consolidation,26.27,2,2,5,0,,10,1,708,0
5000,36,6.784310315390572,A,A3,4 years,MORTGAGE,84866.33,credit_card,0.37,0,1,8,2,83.2,10,0,747,0
15000,36,13.652627302650572,C,C1,4 years,RENT,41863.77,debt_consolidation,,0,3,14,0,31.5,18,1,666,0
15000,36,10.0335859114082,B,B4,5 years,RENT,79468.45,other,37.08,0,5,21,0,54.7,28,2,740,0
25000,36,15.794634866638097,D,D2,10+ years,MORTGAGE,30898.49,debt_consolidation,24.76,4,1,24,0,8.6,37,2,643,0
25000,60,13.688494918558506,C,C5,8 years,MORTGAGE,50561.3,other,7.24,0,1,23,0,59.5,33,1,690,0
20000,36,18.658391642331406,E,E5,1 year,MORTGAGE,56740.0,major_purchase,39.64,0,1,15,0,57.3,17,0,599,1
5000,36,15.632714158480924,D,D1,1 year,MORTGAGE,53229.19,home_improvement,28.68,0,1,27,0,28.0,39,0,680,1
10000,36,10.145213245304205,B,B5,1 year,RENT,,debt_consolidation,,0,5,25,0,14.4,26,2,740,0
5000,60,18.865040793981045,E,E5,10+ years,MORTGAGE,33347.14,debt_consolidation,22.22,2,2,5,0,88.9,7,3,594,1
35000,60,19.394117924160742,E,E4,1 year,RENT,38893.59,major_purchase,44.2,0,0,27,0,41.0,33,3,629,1
10000,36,10.373266406812085,B,B2,5 years,MORTGAGE,83141.97,medical,26.37,0,0,13,0,15.9,20,3,716,0
35000,36,8.917927400133097,B,B4,8 years,MORTGAGE,42302.16,credit_card,31.98,0,1,6,0,52.0,7,0,690,0
10000,60,17.06116749035843,D,D5,10+ years,RENT,40200.56,credit_card,29.61,0,0,11,2,50.2,11,0,666,0
30000,36,6.668879633121529,A,A5,3 years,MORTGAGE,32692.7,credit_card,23.34,0,0,25,1,54.1,38,0,766,0
20000,36,9.311391519883365,B,B3,2 years,RENT,41108.71,credit_card,,0,0,3,0,76.0,11,0,731,0
30000,36,6.4184615006555275,A,A4,1 year,RENT,29253.85,credit_card,8.81,2,0,6,0,98.5,13,1,756,1
20000,36,19.32062114210956,E,E2,1 year,RENT,83916.71,debt_consolidation,15.21,2,1,9,0,52.4,9,0,633,0
25000,36,17.154606103360447,D,D2,2 years,MORTGAGE,41380.37,other,40.02,1,2,21,0,54.5,22,2,664,0
25000,36,17.127971074367878,D,D4,8 years,RENT,28276.81,home_improvement,12.14,0,1,18,0,74.7,27,0,666,0
10000,36,19.24683951402453,E,E3,< 1 year,RENT,47958.87,debt_consolidation,18.75,1,0,12,0,92.9,13,0,625,1
35000,36,13.394497257233152,C,C2,8 years,RENT,23437.9,debt_consolidation,4.65,4,1,23,0,98.5,24,0,695,1
20000,60,13.063734132466985,C,C4,10+ years,OWN,32420.18,credit_card,41.87,0,1,15,0,75.5,28,0,653,0
10000,36,6.9964371625532324,A,A2,6 years,RENT,122112.07,credit_card,12.12,0,0,27,0,89.6,34,2,757,0
15000,60,5.600092805766755,A,A3,10+ years,MORTGAGE,28201.22,major_purchase,26.14,1,1,11,0,41.5,21,1,732,0
20000,60,16.17206855985159,D,D2,5 years,RENT,49709.03,debt_consolidation,17.94,0,0,21,1,49.8,25,1,644,0
30000,60,12.67161265993013,C,C5,5 years,RENT,203584.53,credit_card,15.6,0,1,22,2,40.1,24,0,696,0
25000,36,13.193624496808937,C,C5,2 years,RENT,62915.78,debt_consolidation,,0,1,20,0,93.9,30,3,656,1
15000,60,15.915272684924087,D,D3,7 years,RENT,39875.8,small_business,44.82,0,3,5,0,99.6,5,4,666,1
25000,60,16.563387709325095,D,D4,9 years,MORTGAGE,20000.0,home_improvement,,1,1,26,0,92.8,37,4,635,0
5000,36,13.959719052019501,C,C1,2 years,OWN,59883.27,credit_card,17.84,0,2,20,0,3.9,23,2,695,0
15000,36,12.087011862692696,C,C5,7 years,MORTGAGE,34179.41,debt_consolidation,,1,0,20,0,16.2,31,3,696,1
30000,36,9.506887637181523,B,B2,5 years,RENT,75711.14,home_improvement,28.24,0,0,7,0,96.3,8,2,680,1
10000,60,5.776576695219431,A,A5,10+ years,MORTGAGE,36107.26,debt_consolidation,3.88,0,2,13,0,71.2,17,0,734,0
15000,36,13.164802490814207,C,C5,< 1 year,OWN,63978.22,home_improvement,29.83,0,3,17,2,13.3,26,1,699,0
5000,36,8.981725666796123,B,B1,4 years,OTHER,129033.29,debt_consolidation,22.64,0,0,15,0,61.8,21,0,700,0
5000,36,13.805017643783616,C,C1,5 years,MORTGAGE,81044.99,credit_card,29.14,2,3,24,0,90.9,35,1,676,0
10000,60,19.13598195642369,E,E4,5 years,OWN,24563.08,debt_consolidation,0.21,2,0,29,0,83.7,38,0,590,1
10000,36,10.416625578779554,B,B5,3 years,MORTGAGE,57146.87,medical,30.31,0,5,3,0,26.4,6,2,722,0
15000,60,5.508269499652297,A,A4,3 years,RENT,96576.25,debt_consolidation,2.06,4,1,12,0,31.4,21,0,725,0
30000,36,10.164229443870193,B,B1,4 years,MORTGAGE,21768.72,debt_consolidation,41.29,0,0,17,1,87.4,24,0,696,1
5000,36,9.023367338397636,B,B4,2 years,RENT,149094.48,credit_card,,0,0,13,1,13.8,25,0,709,0
30000,36,15.903244951252772,D,D2,1 year,RENT,58956.32,credit_card,5.58,0,3,23,0,31.5,30,2,666,0
20000,36,13.76829128082803,C,C5,10+ years,RENT,76563.1,major_purchase,25.03,0,0,27,0,84.1,33,1,680,0
10000,60,19.10874790923994,E,E5,6 years,RENT,44077.41,major_purchase,43.06,0,1,14,0,79.1,16,1,649,0
10000,36,16.667756840703042,D,D4,10+ years,RENT,55703.16,debt_consolidation,10.92,0,0,25,0,46.9,38,4,651,0
10000,36,13.473559081239031,C,C3,4 years,OWN,31676.52,credit_card,,0,3,11,0,98.6,15,0,665,0
25000,60,19.338403445517933,E,E2,10+ years,MORTGAGE,137069.77,major_purchase,19.01,0,0,2,0,47.7,9,4,601,0
25000,36,5.702675945316318,A,A5,10+ years,RENT,158868.5,credit_card,6.22,0,0,26,0,45.1,27,1,767,0
15000,60,7.344674085124304,A,A1,10+ years,RENT,196417.77,debt_consolidation,34.99,4,0,27,0,28.4,30,2,748,0
5000,60,6.795001794992044,A,A1,10+ years,MORTGAGE,20000.0,credit_card,41.05,0,0,4,0,60.8,8,2,756,0
10000,60,17.28479485433917,D,D1,9 years,RENT,66020.81,debt_consolidation,20.23,0,4,7,0,6.5,21,0,642,0
20000,36,13.535453377859206,C,C3,7 years,MORTGAGE,70211.73,credit_card,44.91,0,2,3,0,94.0,13,0,666,0
5000,36,7.047963427427974,A,A1,10+ years,OWN,35477.94,credit_card,8.55,0,3,5,0,67.6,18,1,756,0
20000,60,13.179764969842022,C,C3,3 years,MORTGAGE,67757.41,debt_consolidation,41.3,0,0,19,0,,31,1,667,0
20000,36,5.512387804222367,A,A1,< 1 year,MORTGAGE,22880.39,debt_consolidation,14.56,1,0,4,0,78.3,11,0,780,0
25000,60,17.265316659886913,D,D5,4 years,MORTGAGE,131000.44,debt_consolidation,40.58,0,0,25,2,52.2,39,2,664,0
10000,60,13.661848445939949,C,C3,10+ years,RENT,21592.4,medical,40.7,0,1,17,0,58.7,18,0,699,1
15000,36,9.954017798767943,B,B1,1 year,MORTGAGE,62960.25,debt_consolidation,15.7,0,3,27,0,67.4,31,0,697,1
15000,36,10.256318785842812,B,B4,10+ years,RENT,86987.05,other,0.91,4,1,7,0,57.0,15,1,681,0
30000,36,15.868416126635552,D,D2,6 years,RENT,37808.91,debt_consolidation,13.62,2,3,18,1,68.6,27,0,622,1
15000,60,9.063717595712493,B,B2,10+ years,RENT,123446.43,debt_consolidation,19.64,2,0,22,2,42.4,36,0,732,0
15000,36,5.814242927589383,A,A4,6 years,RENT,20000.0,home_improvement,44.27,0,0,18,0,71.8,23,1,773,0
10000,36,6.793237620680531,A,A5,10+ years,MORTGAGE,53189.66,major_purchase,31.04,2,2,25,0,52.4,27,3,761,0
25000,36,24.876783815165307,G,G5,10+ years,RENT,20000.0,debt_consolidation,,1,0,24,1,31.8,31,0,565,1
20000,36,21.205288252149664,F,F3,10+ years,RENT,34065.07,debt_consolidation,29.03,0,0,6,3,49.9,12,0,572,0
25000,60,16.651274043712192,D,D5,10+ years,MORTGAGE,,debt_consolidation,17.83,0,0,28,0,95.4,28,1,666,0
20000,36,9.177971512564262,B,B2,10+ years,MORTGAGE,38835.54,credit_card,31.03,0,0,7,0,61.8,16,2,711,0
30000,36,24.981015754425837,G,G5,5 years,MORTGAGE,116138.33,small_business,12.59,0,1,25,0,10.2,28,2,566,0
30000,60,19.022763742722024,E,E5,4 years,MORTGAGE,26810.89,credit_card,33.85,3,0,13,0,30.8,16,0,591,1
15000,36,15.822297474584412,D,D3,6 years,MORTGAGE,21320.73,credit_card,29.33,1,0,3,0,,15,0,651,0
10000,36,12.90162884153396,C,C3,2 years,RENT,41829.64,major_purchase,33.58,0,2,6,0,76.7,15,4,692,1
30000,60,8.952296740330194,B,B3,5 years,MORTGAGE,57988.5,credit_card,6.81,0,0,22,0,40.7,25,1,726,0
25000,36,6.310027187719122,A,A1,1 year,MORTGAGE,73270.78,debt_consolidation,24.85,0,4,24,1,55.8,38,1,728,0
35000,36,21.764550634243097,F,F5,3 years,MORTGAGE,108260.13,debt_consolidation,8.63,0,0,7,0,40.5,7,1,561,1
15000,36,13.880850208351148,C,C4,8 years,RENT,20000.0,credit_card,14.03,1,1,8,0,46.2,21,2,702,0
35000,36,8.873689171140038,B,B5,< 1 year,RENT,149220.93,debt_consolidation,35.64,2,2,10,0,80.7,12,0,699,0
10000,36,9.072884702769818,B,B1,10+ years,RENT,33154.78,debt_consolidation,18.78,0,2,14,0,37.8,26,3,708,0
20000,60,13.583728611059744,C,C5,< 1 year,MORTGAGE,45840.22,credit_card,2.24,1,0,7,0,34.1,20,1,688,0
15000,36,6.0917247746750744,A,A2,3 years,MORTGAGE,54934.77,debt_consolidation,40.14,0,0,25,0,86.5,35,0,749,0
5000,36,19.460526046569246,E,E5,10+ years,RENT,20000.0,credit_card,4.83,0,0,29,0,85.8,42,1,647,1
10000,36,17.023894244539893,D,D5,10+ years,RENT,41795.34,medical,22.38,0,2,7,0,99.8,14,2,671,0
10000,36,15.508775280648022,D,D5,1 year,RENT,98245.9,credit_card,21.39,0,0,8,0,18.3,20,0,644,0
5000,60,13.913118036568225,C,C5,10+ years,RENT,79130.61,debt_consolidation,17.96,0,0,18,0,17.3,23,0,661,0
35000,60,16.4256660907593,D,D1,10+ years,MORTGAGE,40123.96,credit_card,0.23,0,0,10,2,54.4,14,0,679,1
35000,36,13.518899517022657,C,C2,5 years,MORTGAGE,61563.4,home_improvement,11.44,1,2,17,0,75.2,18,2,693,1
30000,36,17.341614520906283,D,D2,10+ years,RENT,71461.9,major_purchase,,0,0,23,0,7.8,23,0,666,0
35000,36,7.253608399811124,A,A3,5 years,MORTGAGE,46384.98,home_improvement,7.36,0,0,28,0,11.1,39,0,748,0
30000,60,12.440757949582615,C,C5,1 year,MORTGAGE,72801.62,credit_card,5.69,0,1,5,0,71.0,12,0,679,0
35000,36,6.610374522447142,A,A4,2 years,OWN,33514.48,credit_card,37.08,0,2,18,0,73.3,21,0,731,0
10000,60,12.8213095981122,C,C3,4 years,RENT,30723.82,credit_card,4.54,0,3,25,0,19.9,29,1,676,0
10000,36,9.564725228457991,B,B5,4 years,OTHER,45333.68,other,14.99,0,2,16,0,65.8,17,0,713,0
30000,60,7.059261445797155,A,A1,9 years,RENT,20000.0,debt_consolidation,26.09,0,3,8,3,25.0,14,3,727,0
15000,36,6.2089582847885225,A,A4,2 years,MORTGAGE,82122.3,other,1.84,0,1,20,0,44.1,29,2,758,0
25000,36,12.954419414704612,C,C3,9 years,RENT,56947.63,other,23.63,4,1,5,0,9.1,12,2,687,0
20000,36,6.715958377263556,A,A2,6 years,RENT,47414.99,home_improvement,20.87,3,2,27,0,54.7,37,0,771,0
15000,36,21.541126784017063,F,F4,7 years,OWN,87372.01,credit_card,38.61,0,0,9,0,37.6,15,0,563,1
10000,36,13.21320943921412,C,C5,9 years,RENT,68341.06,debt_consolidation,5.22,0,2,3,0,24.0,8,1,663,0
25000,60,8.79782466486349,B,B5,10+ years,MORTGAGE,102567.91,medical,2.63,0,1,14,0,,27,1,706,0
20000,36,13.243292665445697,C,C5,4 years,MORTGAGE,139791.15,small_business,6.62,3,2,8,0,70.8,17,0,703,0
15000,36,5.786463343634635,A,A5,8 years,MORTGAGE,66061.15,major_purchase,21.43,0,0,12,0,59.3,24,2,734,0
20000,60,22.551319911678767,F,F3,< 1 year,MORTGAGE,35177.24,medical,4.72,0,2,9,0,28.4,23,0,619,0
15000,60,12.388042309896766,C,C1,10+ years,MORTGAGE,,major_purchase,27.71,0,5,22,0,,27,1,708,0
15000,36,19.79223666080168,E,E5,9 years,MORTGAGE,35247.12,debt_consolidation,35.7,1,1,2,0,,7,1,595,1
20000,36,6.662395653520937,A,A3,10+ years,MORTGAGE,34291.29,debt_consolidation,25.0,2,0,11,1,64.2,16,1,742,0
15000,36,12.850662879350875,C,C4,2 years,MORTGAGE,45451.6,debt_consolidation,16.13,0,0,6,0,4.8,8,3,665,0
35000,60,13.290918648980975,C,C1,1 year,OWN,108540.33,debt_consolidation,20.1,0,3,15,0,40.9,24,1,679,0
15000,36,22.693032053177014,F,F5,10+ years,RENT,84975.12,other,10.91,0,2,5,0,38.5,17,3,616,0
35000,36,12.240338290728982,C,C5,4 years,OWN,92180.71,debt_consolidation,38.34,0,4,27,0,45.0,29,1,672,0
30000,36,13.352857964622258,C,C5,7 years,MORTGAGE,58322.0,debt_consolidation,14.56,0,1,18,1,93.2,29,0,690,0
30000,36,9.320248209140654,B,B1,10+ years,RENT,76240.13,other,38.64,0,1,8,0,8.8,13,3,688,0
25000,60,9.847849465782582,B,B5,8 years,MORTGAGE,77693.68,debt_consolidation,43.47,1,3,20,0,15.3,33,0,714,0
20000,60,13.750075552106956,C,C4,3 years,MORTGAGE,35847.17,credit_card,11.51,0,0,27,2,73.8,36,3,671,0
20000,36,13.305675124167319,C,C1,1 year,MORTGAGE,77108.63,home_improvement,38.61,0,2,6,1,55.5,17,0,705,0
20000,36,5.819655119859144,A,A3,4 years,MORTGAGE,54048.6,debt_consolidation,,1,0,29,0,94.6,41,2,767,0
10000,36,19.332268283215953,E,E3,8 years,MORTGAGE,42489.68,credit_card,27.51,1,4,28,0,61.5,32,0,603,0
10000,60,22.0988973058985,F,F4,10+ years,RENT,43730.78,credit_card,37.52,3,0,24,1,97.3,33,1,597,0
5000,36,5.753753861828692,A,A1,< 1 year,MORTGAGE,38892.06,credit_card,19.15,2,0,27,3,47.5,28,2,740,0
25000,36,13.287222209001671,C,C3,5 years,RENT,45772.74,credit_card,27.13,0,0,23,0,22.9,36,2,676,1
10000,36,6.926483809328088,A,A4,10+ years,OWN,53913.35,debt_consolidation,18.26,1,1,27,0,74.0,40,0,748,0
20000,36,17.025030669243122,D,D4,10+ years,MORTGAGE,80741.49,major_purchase,44.95,0,2,3,1,24.2,13,1,670,0
10000,36,8.739804388401964,B,B4,10+ years,RENT,133997.15,other,23.93,1,2,2,0,50.4,10,0,697,0
5000,60,16.910287910772865,D,D4,10+ years,MORTGAGE,,credit_card,10.68,1,3,15,0,85.6,17,1,620,0
20000,36,16.232367708729523,D,D4,2 years,RENT,58121.73,credit_card,30.16,0,0,27,0,89.8,33,2,631,1
30000,36,15.922456250796769,D,D1,4 years,MORTGAGE,20000.0,credit_card,34.11,0,1,11,0,67.5,25,1,670,1
15000,36,6.548692152772858,A,A4,7 years,RENT,231273.87,credit_card,38.76,0,2,12,0,99.0,26,1,738,0
30000,36,22.145437894899096,F,F2,1 year,RENT,35426.95,home_improvement,0.57,2,0,13,1,59.4,25,1,563,1
5000,60,9.413528034586832,B,B3,4 years,MORTGAGE,36120.86,other,33.63,0,0,17,0,80.2,18,3,704,0
15000,36,7.181690239974786,A,A3,2 years,MORTGAGE,115671.11,debt_consolidation,23.88,1,0,5,1,90.0,13,3,773,0
10000,36,12.311593674983236,C,C5,3 years,MORTGAGE,27980.79,home_improvement,32.69,1,3,7,0,15.1,7,0,703,0
15000,60,9.314306991325678,B,B2,10+ years,RENT,67715.52,home_improvement,23.73,0,1,4,0,4.0,12,1,737,0
5000,60,19.034032556160682,E,E2,8 years,OWN,41038.26,credit_card,14.84,0,2,6,1,74.3,6,0,631,0
5000,60,18.59760033185643,E,E4,< 1 year,MORTGAGE,46554.86,debt_consolidation,1.58,0,0,7,0,92.7,21,2,639,0
25000,36,9.178128046895944,B,B4,10+ years,RENT,55816.44,credit_card,14.42,0,2,8,0,22.2,8,2,727,0
20000,36,22.43615134072897,F,F2,6 years,RENT,26471.15,debt_consolidation,29.52,1,3,26,0,2.6,40,0,561,0
10000,60,9.546498038159436,B,B2,8 years,MORTGAGE,50307.48,small_business,0.44,0,1,6,0,25.0,11,0,705,0
30000,36,12.837493074559902,C,C5,7 years,OWN,100265.02,credit_card,41.47,1,0,14,0,55.7,16,3,682,0
25000,36,9.449409559620387,B,B5,< 1 year,MORTGAGE,51804.43,debt_consolidation,17.97,0,1,25,0,45.8,30,0,708,0
15000,36,21.62500383247302,F,F1,10+ years,RENT,,home_improvement,2.83,0,0,8,0,27.7,21,0,610,0
15000,60,5.744327036013414,A,A2,8 years,RENT,57237.63,credit_card,39.69,0,0,22,0,64.6,32,0,779,0
10000,60,6.680859532081863,A,A4,3 years,RENT,26424.54,credit_card,8.13,0,1,6,0,34.7,7,4,753,0
30000,36,13.630785025027398,C,C1,1 year,MORTGAGE,39619.36,credit_card,2.62,1,0,20,0,99.4,27,0,655,1
15000,36,25.578106490654715,G,G1,10+ years,MORTGAGE,20000.0,other,3.53,1,3,3,0,28.3,8,1,551,0
10000,36,21.466683586942423,F,F1,10+ years,OTHER,103421.38,other,23.76,0,2,13,0,61.9,15,1,572,1
10000,60,16.368575331415542,D,D3,9 years,MORTGAGE,141956.9,credit_card,12.87,0,2,20,0,,28,2,648,0
10000,60,22.104244559116342,F,F3,6 years,RENT,89838.48,home_improvement,37.88,0,0,11,0,98.9,22,4,574,0
15000,36,22.60490437732658,F,F2,7 years,MORTGAGE,32725.89,debt_consolidation,24.55,0,0,25,0,77.2,30,0,564,0
20000,36,12.393014665566746,C,C1,5 years,MORTGAGE,32097.44,credit_card,12.51,4,3,13,0,94.6,13,2,660,1
35000,60,8.764463578723847,B,B4,10+ years,RENT,84286.91,debt_consolidation,26.29,0,3,13,0,41.9,19,2,710,0
10000,60,20.363247142364994,E,E5,9 years,OWN,39633.65,debt_consolidation,42.48,2,2,6,0,44.7,16,1,598,0
15000,60,15.791439640689967,D,D2,< 1 year,OWN,32325.37,debt_consolidation,38.81,0,0,14,1,2.7,27,1,621,0
5000,36,10.47821925465116,B,B4,3 years,RENT,30227.94,home_improvement,6.14,0,1,14,0,98.7,27,0,697,0
15000,60,6.697947097684546,A,A4,9 years,RENT,166280.65,major_purchase,39.24,2,2,19,0,89.8,24,0,759,0
20000,36,16.497996646157777,D,D3,10+ years,MORTGAGE,41007.97,credit_card,16.48,4,0,8,2,49.4,14,4,658,0
35000,60,8.87787942891876,B,B3,9 years,RENT,89233.51,credit_card,17.3,1,1,12,0,1.2,14,2,703,0
25000,36,22.721013038392464,F,F1,5 years,RENT,75338.36,credit_card,22.68,0,2,23,1,93.5,35,0,600,1
10000,36,8.844330179086025,B,B5,9 years,MORTGAGE,32558.78,major_purchase,34.57,0,2,16,3,67.1,19,1,691,1
30000,60,6.302535853648988,A,A5,9 years,MORTGAGE,55510.46,home_improvement,19.01,3,1,17,0,90.5,23,2,764,0
30000,36,18.59606895673989,E,E4,9 years,RENT,29712.16,major_purchase,,1,2,14,0,25.9,25,1,591,0
10000,36,5.5450958329027,A,A5,10+ years,RENT,129154.81,debt_consolidation,7.66,0,3,16,0,93.9,17,0,728,0
35000,36,6.959152846223195,A,A4,7 years,RENT,31367.35,debt_consolidation,13.28,0,0,7,2,2.3,9,1,776,0
25000,36,12.415485592255191,C,C4,6 years,MORTGAGE,67451.48,debt_consolidation,42.65,2,1,21,0,87.3,22,3,678,1
25000,36,19.701581857112664,E,E5,9 years,RENT,40274.81,home_improvement,18.9,0,2,16,0,29.6,21,3,623,0
15000,36,9.9468089180477,B,B1,10+ years,OWN,31103.04,debt_consolidation,32.69,0,3,29,0,31.6,30,3,704,0
10000,60,9.483573297566492,B,B2,7 years,RENT,103402.85,debt_consolidation,3.58,0,1,14,0,48.4,17,2,719,0
25000,60,19.812862655235953,E,E2,< 1 year,RENT,39628.16,other,1.36,0,4,4,0,82.3,16,0,635,0
15000,36,24.48229700944956,G,G4,< 1 year,RENT,,other,2.37,0,2,25,0,15.7,28,0,577,0
35000,60,13.635724027760322,C,C2,10+ years,RENT,69883.62,debt_consolidation,31.56,1,5,2,0,17.8,8,2,665,0
10000,36,5.9124679136398735,A,A2,6 years,RENT,35436.71,home_improvement,2.55,1,1,10,0,54.9,23,3,758,0
15000,60,6.68122726220499,A,A3,10+ years,OWN,59549.25,major_purchase,27.09,0,5,5,0,42.5,18,0,767,0
25000,36,10.17172657961125,B,B4,2 years,MORTGAGE,90551.36,other,11.28,1,3,21,0,40.3,24,0,705,0
20000,36,7.086401189128796,A,A3,8 years,RENT,67102.57,other,6.32,0,1,25,0,10.8,33,2,743,0
15000,36,15.602539533303633,D,D1,5 years,RENT,92344.6,debt_consolidation,31.17,0,0,10,2,27.9,22,4,658,0
25000,36,6.234364934818167,A,A4,< 1 year,RENT,24862.26,debt_consolidation,,0,2,10,1,36.4,21,0,755,0
25000,60,13.705157229555125,C,C3,4 years,RENT,111198.93,debt_consolidation,40.11,0,1,16,0,41.7,29,0,665,0
20000,36,17.20188042694659,D,D1,2 years,RENT,,credit_card,32.73,1,0,28,1,59.6,32,1,678,1
15000,60,13.272818648895457,C,C4,6 years,MORTGAGE,23017.55,credit_card,14.52,0,0,20,0,18.0,22,1,684,0
20000,60,8.717062378831171,B,B2,10+ years,MORTGAGE,20000.0,other,5.7,0,1,16,0,84.3,18,1,714,0
20000,60,19.308534560644013,E,E3,10+ years,MORTGAGE,45024.74,debt_consolidation,28.68,1,3,26,1,11.4,39,0,602,0
25000,36,17.422304060183034,D,D5,6 years,RENT,,debt_consolidation,15.63,1,2,16,0,33.3,21,0,661,0
20000,60,15.71307739642196,D,D2,10+ years,OWN,34117.89,debt_consolidation,7.45,0,0,10,0,42.6,23,0,675,1
15000,36,7.102806744937377,A,A5,10+ years,MORTGAGE,66212.0,debt_consolidation,25.79,0,0,27,0,14.0,41,0,764,0
5000,36,6.335641635709914,A,A3,2 years,MORTGAGE,,major_purchase,29.78,0,3,19,0,66.9,21,0,751,0
10000,36,22.489481755824723,F,F5,< 1 year,MORTGAGE,31539.86,other,12.85,3,2,5,1,13.5,11,1,598,0
15000,36,8.608622560361919,B,B5,10+ years,MORTGAGE,57252.07,credit_card,32.48,0,0,7,0,71.2,11,0,694,0
